Metric,System Boundary,Source Category,Source Detail,CO2_fossil,CO2_biogenic,CH4_fossil,CH4_biogenic,N2O,NF3,SF6,MJ,Unit,Subregion,MJ/unit,Notes,Nprop,P fraction,P2O5 fraction,S fraction,NO3 fraction,NH4 fraction,Urea fraction,NH3 fraction,Ca fraction,K fraction,FR_sn
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,27261.15822,MWh,SRMW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,22609.45258,MWh,SRSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,21669.19355,MWh,SRTV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,20323.39816,MWh,SRVC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),512.714894,NA,0.614338537,0.003508412,0.006141478,8.25e-11,5e-8,0,MWh,AKGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),247.1273065,NA,0.131409002,7.64e-4,0.002016641,7.86e-11,4.76e-8,0,MWh,AKMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),383.9730584,NA,0.466691238,0.002414732,0.003655254,3.57e-9,1.89e-7,0,MWh,AZNM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),254.3928075,NA,0.375170388,0.00459928,0.002751238,9.88e-9,1.87e-7,0,MWh,CAMX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),378.2250254,NA,0.478120285,0.002413264,0.003667137,3.02e-9,5.41e-7,0,MWh,ERCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),399.0436313,NA,0.591309156,0.004407375,0.003449216,2.04e-9,8.25e-10,0,MWh,FRCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),579.9453679,NA,0.289409783,0.006259995,0.01037572,3.05e-9,3.29e-7,0,MWh,HIMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),774.2307217,NA,0.411177601,0.004479048,0.013159213,3.03e-9,9.18e-8,0,MWh,HIOA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),717.8169657,NA,0.696300447,0.004040412,0.010291466,1.66e-9,9.09e-8,0,MWh,MROE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
